Common,Scientific,Length,Recordist,Date,Country,Location,Type,ID,Class,Seconds,Name,NameCat,nType
Common Moorhen,Gallinula chloropus,0:03,Aat Schaftenaar,2018-04-10 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC431447,0,3,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:03,Aat Schaftenaar,2018-04-04 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC431446,0,3,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:04,Aat Schaftenaar,2018-07-13 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC429325,0,4,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:02,Aat Schaftenaar,2018-07-11 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC424670,0,2,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:40,Aat Schaftenaar,2018-06-29 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC423429,0,40,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:03,Aat Schaftenaar,2018-06-24 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC422716,0,3,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:04,Nelson Conceição,2018-10-18 00:00:00,Portugal,"Santa Maria, Tavira, Faro",call,XC439214,1,4,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:34,Stein Ø. Nilsen,2018-09-22 00:00:00,Spain,"Albufera, Comunidad Valenciana",call,XC435793,1,34,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:03,J. Veeken,2018-09-14 00:00:00,Netherlands,"Mookerhei, Mook en Middelaar, Limburg","call, flight call, migration, nocturnal, trekroep",XC434213,1,3,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:35,Jorge Leitão,2016-08-13 00:00:00,Portugal,"Lagoas do Tâmega, Chaves, Vila Real",call,XC428499,1,35,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:13,Sonnenburg,2018-06-19 00:00:00,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg",alarm call,XC421043,1,13,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:05,José Carlos Sires,2017-12-21 00:00:00,Spain,Paraje Natural Brazo del Este del Guadalquivir,call,XC412257,1,5,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:01,Thomas Lüthi,2016-04-07 00:00:00,Switzerland,"Hägendorf, Olten, Solothurn","flight call, nocturnal flightcall",XC397403,1,1,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:24,Stanislas Wroza,2017-07-22 00:00:00,France,"Lansargues, Hérault, Occitanie","adult calling ckicks, call",XC381668,1,24,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:09,Stanislas Wroza,2017-05-28 00:00:00,France,"Lattes, Hérault, Languedoc-Roussillon Midi-Pyrénées",alarm call,XC372911,1,9,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:29,Stanislas Wroza,2017-05-28 00:00:00,France,"Lattes, Hérault, Languedoc-Roussillon Midi-Pyrénées",call,XC372910,1,29,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:05,Gerard OLIVIER,2006-04-18 00:00:00,France,"Marcilly-sur-Tille, Côte-d'Or, Bourgogne Franche-Comté",call,XC364880,1,5,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:07,Teet Sirotkin,2017-04-12 00:00:00,Sweden,"Östhammar, Uppsala län",flight call,XC364086,1,7,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:05,Jerome Fischer,2017-03-03 00:00:00,Switzerland,"Radelfingen, Aarberg, Bern",call,XC357609,1,5,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:50,Patrik Åberg,2016-07-10 00:00:00,Sweden,"Baggebo industriområde, Tibro, Västra Götalands län",alarm call,XC344221,1,50,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:33,Tero Linjama,2009-05-18 00:00:00,Finland,"Pajulampi, Joutsa, Central Finland",call,XC341737,1,33,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus chloropus,0:16,Vincent van der Spek,2016-10-20 00:00:00,Netherlands,"Boerderij Meijendel eo, Meijendel, Wassenaar, ZH",alarm call,XC339599,1,16,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:30,Jens Kirkeby,2016-05-07 00:00:00,Denmark,"Han Vejle, Fjerritslev, Jammerbugt Municipality, North Denmark Region",call,XC315363,1,30,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:27,Adam Gruszczyński,2015-03-15 00:00:00,Poland,"Wrocław, Wrocław, Województwo dolnośląskie",call,XC304767,1,27,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:22,Carlos W.,2016-02-04 00:00:00,Spain,"La Puebla del Río, Sevilla, Andalucía",call,XC303949,1,22,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,Carlos W.,2016-02-04 00:00:00,Spain,"Área Metropolitana de Sevilla (near  La Puebla del Río), Sevilla, Andalucía",call,XC303339,1,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:01,Carlos W.,2016-02-03 00:00:00,Spain,"La Puebla del Río, Sevilla, Andalucía",call,XC302640,1,1,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:04,José Carlos Sires,2016-01-08 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC299325,1,4,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:06,Timo Tschentscher,2015-10-09 00:00:00,Germany,"Hofgarten, Düsseldorf, Nordrhein-Westfalen",call,XC289487,1,6,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:03,Sonnenburg,2015-10-07 00:00:00,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg",call,XC284138,1,3,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:11,Jérémy Simar,2015-06-19 00:00:00,Belgium,"Hensies, Hainaut, Région wallonne",call,XC253163,1,11,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,Teet Sirotkin,2015-04-28 00:00:00,Sweden,"Kallerö, Östhammar, Uppland",flight call,XC237699,1,2,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:40,Karri Kuitunen,2014-05-20 00:00:00,Finland,"Konnunsuo, Lappeenranta, South Karelia",call,XC225356,1,40,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:09,Ilkka Heiskanen,1988-06-19 00:00:00,Finland,"Laasonpohja, Hollola","call, shout",XC214103,1,9,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:43,Ilkka Heiskanen,1988-06-19 00:00:00,Finland,"Laasonpohja, Hollola",call,XC214102,1,43,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:32,Ilkka Heiskanen,1988-06-19 00:00:00,Finland,"Laasonpohja, Hollola",call,XC214101,1,32,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:06,Eetu Paljakka,2014-07-06 00:00:00,United Kingdom,"Sandown, Isle of Wight, England",alarm call,XC208511,1,6,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:01,Dawid Jablonski,2014-06-07 00:00:00,United Kingdom,"Cherwell (near  Oddington), Oxfordshire, England",call,XC181390,1,1,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:29,Teet Sirotkin,2014-04-12 00:00:00,Sweden,"Kallerö, Östhammar, Uppland",flight call,XC175031,1,29,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:01,Morvan Corentin,2018-10-31 00:00:00,France,"Troyes, Aube, Grand Est",flight call,XC440839,2,1,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:11,Morvan Corentin,2018-10-14 00:00:00,France,"Armorique Natural Regional Park (near  Ouessant), Finistère, Bretagne",flight call,XC440414,2,11,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus chloropus,0:21,nick talbot,2018-09-10 00:00:00,United Kingdom,"London Borough of Hackney (near  London), Greater London, England",call,XC437358,2,21,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:04,J. Veeken,2018-09-01 00:00:00,Netherlands,"Mookerhei, Mook en Middelaar, Limburg","call, flight call, migration, trekroep",XC432849,2,4,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:04,Thomas Lüthi,2018-04-16 00:00:00,Switzerland,"Hägendorf, Olten, Solothurn","flight call, nocturnal flightcall",XC432656,2,4,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:03,Esperanza Poveda,2017-12-21 00:00:00,Spain,Paraje Natural Brazo del Este del Guadalquivir,call,XC429602,2,3,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:04,Esperanza Poveda,2017-12-21 00:00:00,Spain,Paraje Natural Brazo del Este del Guadalquivir,call,XC429601,2,4,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:00,Regina Eidner,2018-06-28 00:00:00,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg",call,XC424737,2,0,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:26,brickegickel,2018-06-27 00:00:00,United Kingdom,"City of Westminster (near  London), Greater London, England","alarm call, call",XC423104,2,26,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:19,Jamie Dunning,2018-04-06 00:00:00,United Kingdom,"Rushcliffe District (near  East Bridgford), Nottinghamshire, England",flight call,XC409432,2,19,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus chloropus,0:07,nick talbot,2018-02-09 00:00:00,United Kingdom,"London Borough of Richmond upon Thames (near  London), Greater London, England",call,XC402556,2,7,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,1:00,José Carlos Sires,2017-09-24 00:00:00,Spain,Paraje Natural Brazo del Este del Guadalquivir,call,XC402291,2,60,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2017-09-24 00:00:00,Spain,Paraje Natural Brazo del Este del Guadalquivir,call,XC402290,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:33,Frank Roos,2016-11-10 00:00:00,Netherlands,"Westbroek, De Bilt, Utrecht",call,XC394521,2,33,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:04,Thomas Lüthi,2017-10-10 00:00:00,Switzerland,"Hägendorf, Olten, Solothurn","flight call, nocturnal flightcall",XC389219,2,4,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2017-04-07 00:00:00,Spain,"doñana visitable, sevilla, andalucía",call,XC386780,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:07,Joost van Bruggen,2017-07-21 00:00:00,Netherlands,"Arnhem, Arnhem, Gelderland",flight call,XC384907,2,7,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:04,David Darrell-Lambert,2017-07-15 00:00:00,United Kingdom,"Thurrock (near  Chafford Hundred), Essex, England",flight call,XC380796,2,4,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:01,Stanislas Wroza,2017-06-30 00:00:00,France,"Montpellier, Hérault, Occitanie","flight call, nocturnal flight call",XC378684,2,1,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus chloropus,0:34,Guy Kirwan,2017-06-21 00:00:00,Spain,"S´Albufera, Mallorca",call,XC378482,2,34,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:23,Joost van Bruggen,2017-03-03 00:00:00,Netherlands,"Arnhem, Arnhem, Gelderland",flight call,XC377234,2,23,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:05,Rolf A. de By,2017-05-29 00:00:00,Netherlands,"Smalenbroek, Enschede, Overijssel",flight call,XC374918,2,5,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:06,Thomas Lüthi,2017-04-07 00:00:00,Switzerland,"Hägendorf, Olten, Solothurn","flight call, nocturnal flightcall",XC370952,2,6,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:00,Annette Hamann,2017-05-06 00:00:00,Germany,"Brandenburg (near  Gartz (Oder)), Gryfino County, Brandenburg",alarm call,XC368776,2,0,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:06,Joost van Bruggen,2017-03-27 00:00:00,Netherlands,"Arnhem, Arnhem, Gelderland",flight call,XC366118,2,6,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:33,Joost van Bruggen,2017-04-02 00:00:00,Netherlands,"Arnhem, Arnhem, Gelderland",flight call,XC365509,2,33,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:19,Steve Klasan,2017-03-16 00:00:00,Germany,"Partwitzer See, Saxony","call, flight call, nocturnal migrant",XC360808,2,19,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:11,Tero Linjama,2011-05-23 00:00:00,Poland,"Gmina Goniądz (near  Goniądz), moniecki, podlaskie",call,XC341739,2,11,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:04,brickegickel,2016-06-23 00:00:00,Germany,"Groß-Gerau (near  Riedstadt), Darmstadt, Hessen",call,XC324003,2,4,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:22,Dimitri,2016-05-10 00:00:00,Italy,"Sentina Natural Regional Reserve, San Benedetto del Tronto, AP",call,XC315890,2,22,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:01,José Carlos Sires,2016-03-29 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC310419,2,1,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:01,José Carlos Sires,2016-03-29 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC310418,2,1,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2016-03-29 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC310416,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:04,Paulo Alves,2016-03-08 00:00:00,Portugal,"Paul do Boquilobo, Golegã, Santarém District",call,XC307357,2,4,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:04,José Carlos Sires,2016-01-22 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC301595,2,4,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:01,José Carlos Sires,2016-01-22 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC301590,2,1,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:01,José Carlos Sires,2016-01-08 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC299327,2,1,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2016-01-08 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC299326,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:01,José Carlos Sires,2015-12-12 00:00:00,Spain,"charca de las doblas, sanlúcar la mayor, sevilla, andalucía",call,XC296284,2,1,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:12,José Carlos Sires,2015-12-12 00:00:00,Spain,"charca de las doblas, sanlúcar la mayor, sevilla, andalucía",call,XC296282,2,12,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2015-12-12 00:00:00,Spain,"charca de las doblas, sanlúcar la mayor, sevilla, andalucía",call,XC296280,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:04,Joost van Bruggen,2015-07-24 00:00:00,France,"Lion-en-Sullias, Loiret, Centre",call,XC294279,2,4,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:12,José Carlos Sires,2015-10-06 00:00:00,Spain,"parque del alamillo, sevilla, andalucía",call,XC288672,2,12,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:14,Sonnenburg,2015-10-07 00:00:00,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg",call,XC284137,2,14,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:25,Sonnenburg,2015-08-17 00:00:00,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg","adult, call, juvenile",XC268739,2,25,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:10,Eetu Paljakka,2014-07-06 00:00:00,United Kingdom,"Sandown, Isle of Wight, England",alarm call,XC268554,2,10,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2015-05-06 00:00:00,Spain,"dehesa de abajo, puebla del río, sevilla, andalucía",call,XC267186,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:09,José Carlos Sires,2015-04-11 00:00:00,Spain,"universidad pablo olavide, sevilla, andalucía",call,XC264066,2,9,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:09,José Carlos Sires,2015-04-08 00:00:00,Spain,"universidad pablo olavide, sevilla, andalucía",call,XC263702,2,9,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2015-04-06 00:00:00,Spain,"parque del alamillo, sevilla, andalucía",call,XC263567,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2015-03-20 00:00:00,Spain,"brazo del este, sevilla, andalucía",call,XC263310,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus chloropus,0:03,Cedric Mroczko,2015-07-06 00:00:00,Portugal,Azores,call,XC263219,2,3,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:14,Francesco Sottile,2015-05-18 00:00:00,Italy,"Paratico, Brescia, Lombardia",alarm call,XC244172,2,14,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:30,Yoann BLANCHON,2015-04-30 00:00:00,France,"Peyrolles-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",call,XC241974,2,30,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:18,Gerard Kenter,2014-09-06 00:00:00,Netherlands,"Schardam, Zeevang, Noord-Holland",call,XC217691,2,18,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:48,Lars Lachmann,2014-06-14 00:00:00,Turkey,"Çamyuva, Kemer, Antalya Province",call,XC187968,2,48,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:13,Buhl Johannes,2014-06-22 00:00:00,Germany,"Augsburg, Stadtwald, near Lech km: 49,6","-night migration, flight call",XC183637,2,13,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:02,José Carlos Sires,2014-03-23 00:00:00,Spain,"parque del dragón, alcalá de guadaíra, sevilla, andalucía",call,XC171290,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:19,Bernard BOUSQUET,2013-11-27 00:00:00,France,"Uzein, Pyrénées-Atlantiques, Aquitaine",call,XC161269,2,19,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:05,Piotr Szczypinski,2012-06-30 00:00:00,Poland,"Gmina Wielbark (near  Ostrowy), szczycieński, Warmian-Masurian Voivodeship",call,XC155199,2,5,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:22,Edmunds Racinskis,2013-05-03 00:00:00,Latvia,"Dvietes paliene, Ilūkstes novads","call, flight call",XC154509,2,22,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:09,Bernard BOUSQUET,2013-10-02 00:00:00,France,"Pardies, Pyrénées-Atlantiques, Aquitaine",call,XC149725,2,9,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,Bernard BOUSQUET,2012-03-28 00:00:00,France,"Navailles-Angos, Pyrénées-Atlantiques, Aquitaine",call,XC140637,2,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:47,Bernard BOUSQUET,2012-06-03 00:00:00,France,"Montardon, Pyrénées-Atlantiques, Aquitaine",alarm call,XC138575,2,47,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:02,Volker Arnold,2013-05-24 00:00:00,Germany,"Heide-Ruesdorfer Moor, Dithmarschen, Schleswig-Holstein",call,XC134777,2,2,Gallinula chloropus,238,call
Great Spotted Woodpecker,Dendrocopos major,0:20,MERCIER Christophe,2018-11-03 00:00:00,France,"Saint-Pardoux, Haute-Vienne, Nouvelle-Aquitaine",call,XC441153,0,20,Dendrocopos major,183,call
Great Spotted Woodpecker,Dendrocopos major,0:09,Frank Roos,2018-10-08 00:00:00,Netherlands,"Westbroek, De Bilt, Utrecht",call,XC437916,0,9,Dendrocopos major,183,call
Great Spotted Woodpecker,Dendrocopos major,0:07,Vincent Pourchaire,2018-11-03 00:00:00,France,"Versailleux, Ain, Auvergne-Rhône-Alpes",call,XC441173,1,7,Dendrocopos major,183,call
Great Spotted Woodpecker,Dendrocopos major,0:07,Vincent Pourchaire,2018-11-03 00:00:00,France,"Versailleux, Ain, Auvergne-Rhône-Alpes",call,XC441172,1,7,Dendrocopos major,183,call
Great Spotted Woodpecker,Dendrocopos major,0:46,Jack Berteau,2018-07-23 00:00:00,France,"Quinçay, Vienne, Nouvelle-Aquitaine",tapping,XC439076,1,46,Dendrocopos major,183,others
Great Spotted Woodpecker,Dendrocopos major,0:26,Dominic Garcia-Hall,2018-10-01 00:00:00,United Kingdom,"Underhill Farm, Peak National Park, Staffordshire, England","alarm call, call, juvenile",XC436994,1,26,Dendrocopos major,183,icall
Great Spotted Woodpecker,Dendrocopos major,0:08,Aladdin,2018-07-17 00:00:00,Finland,"Kuhmo, Kehys-Kainuu, Kainuu",song or call? i'm not sure,XC430017,1,8,Dendrocopos major,183,others
Great Spotted Woodpecker,Dendrocopos major,0:52,Zoltán Dudás,2016-05-06 00:00:00,Hungary,"Mánfa, Komló District, Baranya",drumming,XC426186,1,52,Dendrocopos major,183,others
Great Spotted Woodpecker,Dendrocopos major,0:53,Zoltán Dudás,2013-05-06 00:00:00,Hungary,"Sopron, Sopron–Fertődi, Gyor-Moson-Sopron",drumming,XC426185,1,53,Dendrocopos major,183,others
Great Spotted Woodpecker,Dendrocopos major pinetorum,0:31,Vincent van der Spek,2017-11-29 00:00:00,Netherlands,"Boerderij Meijendel eo, Meijendel, Wassenaar, ZH",alarm call,XC426178,1,31,Dendrocopos major,183,icall
Great Spotted Woodpecker,Dendrocopos major,0:54,Romuald Mikusek,2018-06-28 00:00:00,Poland,"Gmina Jaśliska (near  Zawadka Rymanowska), krośnieński, Województwo podkarpackie","alarm call, male",XC425840,1,54,Dendrocopos major,183,icall
Great Spotted Woodpecker,Dendrocopos major,0:50,Romuald Mikusek,2018-06-25 00:00:00,Poland,"Gmina Komańcza, Sanok County, Województwo podkarpackie","alarm call, begging call",XC425735,1,50,Dendrocopos major,183,icall
Great Spotted Woodpecker,Dendrocopos major,0:19,Romuald Mikusek,2018-06-25 00:00:00,Poland,"Gmina Komańcza, Sanok County, Województwo podkarpackie",alarm call,XC425734,1,19,Dendrocopos major,183,icall
Great Spotted Woodpecker,Dendrocopos major,0:32,Romuald Mikusek,2018-05-30 00:00:00,Poland,"Gmina Rymanów, krośnieński, Województwo podkarpackie",begging call,XC422091,1,32,Dendrocopos major,183,icall
Great Spotted Woodpecker,Dendrocopos major,0:23,Annette Hamann,2018-06-20 00:00:00,Germany,"Spreewaldplatz (Berlin) (near  Berlin), Berlin","call, female",XC422056,1,23,Dendrocopos major,183,icall
Great Spotted Woodpecker,Dendrocopos major,0:47,Katalin Kovács-Hajdu,2018-05-17 00:00:00,Hungary,"Fertőrákos, Sopron–Fertődi, Gyor-Moson-Sopron","begging call, juvenile",XC415752,1,47,Dendrocopos major,183,icall
Great Spotted Woodpecker,Dendrocopos major,0:36,David Bissett,2018-05-13 00:00:00,United Kingdom,"Basildon District (near  Billericay), Essex, England",drumming,XC415109,1,36,Dendrocopos major,183,others
Great Spotted Woodpecker,Dendrocopos major pinetorum,0:35,Jarek Matusiak,2018-04-26 00:00:00,Poland,"Warszawa, Warszawa, mazowieckie","drumming, drumming in aluminium road lamp, male",XC413691,1,35,Dendrocopos major,183,others
